Case ID,Variant,Priority,Issue Type,Report Channel,Step_count,Reassignment_count,Escalation_count,Has_Bounce,Workload_Index,Open_Hour,Is_Weekend,Resolution_Time_Hours
INC0035,Variant 1,Low,Technical Issue,Email,6,2,0.0,0,12,23,0,20.766666666666666
INC0036,Variant 3,Low,Performance Issue,Email,8,4,1.0,0,32,1,0,26.35
INC0037,Variant 3,Medium,Performance Issue,Website,8,5,1.0,0,40,3,0,12.366666666666667
INC0038,Variant 1,Medium,Feature Request,Website,6,3,0.0,0,18,17,0,9.433333333333334
INC0039,Variant 1,Low,Bug,Email,6,3,0.0,0,18,4,1,16.9
INC0040,Variant 1,Medium,Performance Issue,Email,6,3,0.0,0,18,18,0,8.816666666666666
INC0041,Variant 8,Low,Feature Request,Website,10,3,0.0,0,30,14,0,32.36666666666667
INC0042,Variant 3,Medium,Feature Request,Email,8,4,1.0,0,32,5,0,12.7
INC0043,Variant 1,Medium,Bug,Website,6,3,0.0,0,18,6,0,7.666666666666667
INC0044,Variant 3,Medium,Incident,Website,8,3,1.0,0,24,3,1,14.566666666666666
INC0045,Variant 7,Medium,Bug,Email,15,7,3.0,0,105,19,0,20.516666666666666
INC0046,Variant 7,Medium,Bug,Email,15,8,3.0,0,120,12,0,20.433333333333334
INC0047,Variant 1,Low,Performance Issue,Email,6,2,0.0,0,12,19,0,20.65
INC0048,Variant 3,Medium,Technical Issue,Website,8,4,1.0,0,32,1,1,13.066666666666666
INC0049,Variant 6,Medium,Incident,Email,10,7,2.0,0,70,20,0,14.633333333333333
INC0050,Variant 1,Low,Performance Issue,Website,6,3,0.0,0,18,20,1,23.116666666666667
INC0051,Variant 3,Medium,Service Request,Website,8,4,1.0,0,32,21,1,12.35
INC0052,Variant 3,Low,Feature Request,Email,8,5,1.0,0,40,5,1,19.416666666666668
INC0053,Variant 1,Medium,Incident,Email,6,3,0.0,0,18,19,0,9.566666666666666
INC0054,Variant 1,Medium,Incident,Website,6,3,0.0,0,18,16,0,9.966666666666667
INC0055,Variant 3,Low,Performance Issue,Website,8,6,1.0,0,48,7,1,28.716666666666665
INC0056,Variant 3,Medium,Performance Issue,Email,8,4,1.0,0,32,3,0,15.466666666666667
INC0057,Variant 11,High,Bug,Website,6,3,0.0,0,18,21,1,3.0
INC0058,Variant 3,High,Performance Issue,Website,8,4,1.0,0,32,17,0,5.616666666666666
INC0059,Variant 7,Medium,Bug,Website,15,6,3.0,0,90,12,1,18.283333333333335
INC0060,Variant 3,High,Feature Request,Email,8,3,1.0,0,24,10,1,6.483333333333333
INC0061,Variant 3,Medium,Performance Issue,Website,8,4,1.0,0,32,4,1,10.983333333333333
INC0062,Variant 3,Medium,Performance Issue,Email,8,5,1.0,0,40,0,1,12.133333333333333
INC0063,Variant 8,Low,Performance Issue,Website,10,3,0.0,0,30,5,1,31.283333333333335
INC0064,Variant 2,Medium,Technical Issue,Email,4,3,0.0,1,12,9,1,3.316666666666667
INC0065,Variant 1,Medium,Feature Request,Website,6,2,0.0,0,12,5,1,6.933333333333334
INC0066,Variant 4,Medium,Feature Request,Email,7,6,1.0,0,42,5,0,15.616666666666667
INC0067,Variant 3,Medium,Performance Issue,Website,8,5,1.0,0,40,14,0,11.483333333333333
INC0068,Variant 2,High,Incident,Email,4,3,0.0,1,12,14,0,2.5166666666666666
INC0069,Variant 5,Medium,Performance Issue,Website,12,5,1.0,1,60,22,0,20.316666666666666
INC0071,Variant 4,High,Feature Request,Email,7,4,1.0,0,28,0,0,6.916666666666667
INC0072,Variant 1,Medium,Feature Request,Email,6,3,0.0,0,18,20,0,8.666666666666666
INC0073,Variant 4,Low,Bug,Email,7,4,1.0,0,28,23,0,22.05
INC0074,Variant 3,Medium,Feature Request,Website,8,5,1.0,0,40,7,0,12.533333333333333
INC0075,Variant 3,Medium,Incident,Website,8,6,1.0,0,48,3,0,13.616666666666667
INC0076,Variant 3,Low,Technical Issue,Website,8,5,1.0,0,40,0,0,27.05
INC0077,Variant 3,Low,Performance Issue,Website,8,5,1.0,0,40,16,0,28.783333333333335
INC0078,Variant 1,Medium,Incident,Email,6,2,0.0,0,12,9,0,9.783333333333333
INC0079,Variant 3,Low,Incident,Website,8,5,1.0,0,40,16,0,25.533333333333335
INC0081,Variant 1,Medium,Performance Issue,Email,6,3,0.0,0,18,3,0,8.9
INC0082,Variant 4,Medium,Feature Request,Website,7,5,1.0,0,35,8,0,10.233333333333333
INC0083,Variant 1,Medium,Bug,Email,6,2,0.0,0,12,18,0,10.716666666666667
INC0084,Variant 1,Medium,Bug,Website,6,3,0.0,0,18,19,0,9.416666666666666
INC0085,Variant 1,Medium,Feature Request,Email,6,2,0.0,0,12,18,0,9.316666666666666
INC0086,Variant 3,Low,Service Request,Website,8,4,1.0,0,32,8,0,33.416666666666664
INC0087,Variant 12,Low,Bug,Email,6,3,0.0,0,18,17,0,21.716666666666665
INC0088,Variant 1,Medium,Service Request,Email,6,3,0.0,0,18,11,0,8.916666666666666
INC0089,Variant 3,Medium,Performance Issue,Website,8,3,1.0,0,24,9,1,15.5
INC0090,Variant 1,Low,Feature Request,Email,6,3,0.0,0,18,11,1,22.483333333333334
INC0091,Variant 5,Medium,Maintenance,Website,12,6,1.0,1,72,10,0,16.866666666666667
INC0092,Variant 3,Low,Feature Request,Email,8,6,1.0,0,48,22,0,25.683333333333334
INC0093,Variant 5,Medium,Performance Issue,Email,12,6,1.0,1,72,18,0,14.8
INC0094,Variant 1,Medium,Feature Request,Phone,6,2,0.0,0,12,23,0,8.2
INC0095,Variant 3,Medium,Service Request,Email,8,5,1.0,0,40,19,0,11.033333333333333
INC0096,Variant 3,High,Performance Issue,Website,8,5,1.0,0,40,16,0,7.033333333333333
INC0097,Variant 3,Low,Performance Issue,Email,8,6,1.0,0,48,0,0,24.75
INC0098,Variant 2,Medium,Maintenance,Website,4,2,0.0,1,8,14,0,5.7
INC0099,Variant 3,Medium,Performance Issue,Email,8,5,1.0,0,40,19,0,9.75
INC0100,Variant 3,Medium,Incident,Website,8,4,1.0,0,32,13,0,15.716666666666667
INC0101,Variant 1,Low,Bug,Email,6,3,0.0,0,18,13,1,17.666666666666668
INC0102,Variant 1,Low,Service Request,Website,6,2,0.0,0,12,21,0,18.05
INC0103,Variant 1,Medium,Technical Issue,Email,6,2,0.0,0,12,16,0,9.95
INC0104,Variant 3,Low,Performance Issue,Website,8,4,1.0,0,32,11,0,23.85
INC0105,Variant 4,Medium,Bug,Website,7,4,1.0,0,28,9,0,15.7
INC0106,Variant 8,Low,Performance Issue,Website,10,3,0.0,0,30,11,0,33.1
INC0107,Variant 1,Low,Maintenance,Website,6,3,0.0,0,18,4,0,15.7
INC0108,Variant 1,Medium,Performance Issue,Email,6,3,0.0,0,18,17,0,8.033333333333333
INC0109,Variant 3,Low,Performance Issue,App,8,3,1.0,0,24,13,1,25.883333333333333
INC0110,Variant 4,Medium,Performance Issue,Email,7,4,1.0,0,28,18,0,11.033333333333333
INC0111,Variant 1,Low,Performance Issue,Website,6,3,0.0,0,18,3,1,22.433333333333334
INC0112,Variant 3,Medium,Performance Issue,Email,8,5,1.0,0,40,22,0,12.683333333333334
INC0113,Variant 4,Medium,Bug,Email,7,4,1.0,0,28,12,0,10.416666666666666
INC0114,Variant 3,Medium,Feature Request,Website,8,4,1.0,0,32,23,1,14.216666666666667
INC0115,Variant 3,Low,Technical Issue,Website,8,3,1.0,0,24,19,0,30.033333333333335
INC0116,Variant 5,Medium,Bug,Email,12,5,1.0,1,60,23,0,19.916666666666668
INC0117,Variant 3,Low,Incident,Website,8,5,1.0,0,40,2,0,29.0
INC0118,Variant 1,Medium,Bug,Email,6,3,0.0,0,18,12,0,9.016666666666667
INC0119,Variant 5,Medium,Technical Issue,Email,12,5,1.0,1,60,5,0,15.783333333333333
INC0120,Variant 3,Medium,Incident,Website,8,4,1.0,0,32,22,0,14.1
INC0121,Variant 1,Medium,Feature Request,Website,6,2,0.0,0,12,21,0,11.65
INC0122,Variant 4,High,Incident,Email,7,3,1.0,0,21,15,0,7.833333333333333
INC0123,Variant 1,High,Bug,Email,6,3,0.0,0,18,6,0,4.333333333333333
INC0124,Variant 3,High,Performance Issue,Website,8,5,1.0,0,40,20,0,7.466666666666667
INC0125,Variant 3,Low,Performance Issue,Website,8,4,1.0,0,32,6,0,29.766666666666666
INC0126,Variant 1,Medium,Performance Issue,Email,6,3,0.0,0,18,7,0,9.133333333333333
INC0127,Variant 4,Medium,Technical Issue,Email,7,4,1.0,0,28,19,0,13.383333333333333
INC0128,Variant 1,Medium,Maintenance,Website,6,3,0.0,0,18,1,0,6.983333333333333
INC0129,Variant 5,High,Bug,Email,12,6,1.0,1,72,12,1,9.766666666666667
INC0130,Variant 1,Medium,Incident,Email,6,3,0.0,0,18,1,0,8.916666666666666
INC0131,Variant 3,Medium,Performance Issue,Email,8,4,1.0,0,32,10,1,13.083333333333334
INC0132,Variant 8,Low,Performance Issue,Website,10,3,0.0,0,30,23,0,34.63333333333333
INC0133,Variant 12,Low,Feature Request,Website,6,3,0.0,0,18,0,1,17.283333333333335
INC0134,Variant 1,Medium,Incident,Website,6,2,0.0,0,12,6,0,9.683333333333334
INC0135,Variant 3,Medium,Performance Issue,App,8,4,1.0,0,32,12,0,14.9
INC0136,Variant 6,Medium,Service Request,Website,10,5,2.0,0,50,10,0,16.166666666666668
INC0137,Variant 3,Medium,Performance Issue,Website,8,4,1.0,0,32,10,0,12.35
INC0138,Variant 3,High,Service Request,Website,8,5,1.0,0,40,4,0,5.583333333333333
INC0139,Variant 1,Medium,Bug,Email,6,2,0.0,0,12,5,1,8.166666666666666
INC0140,Variant 3,Medium,Service Request,Email,8,4,1.0,0,32,20,0,12.616666666666667
INC0141,Variant 3,High,Performance Issue,App,8,5,1.0,0,40,8,0,6.466666666666667
INC0142,Variant 3,Medium,Feature Request,Website,8,6,1.0,0,48,0,0,15.6
INC0143,Variant 1,Low,Technical Issue,Email,6,3,0.0,0,18,15,1,21.083333333333332
INC0144,Variant 3,Low,Performance Issue,Website,8,4,1.0,0,32,0,0,29.85
INC0145,Variant 3,Medium,Performance Issue,Email,8,5,1.0,0,40,7,0,12.05
INC0146,Variant 3,Medium,Service Request,Website,8,4,1.0,0,32,13,0,13.183333333333334
INC0147,Variant 1,Medium,Bug,Website,6,3,0.0,0,18,4,0,7.033333333333333
INC0148,Variant 1,Low,Feature Request,Email,6,2,0.0,0,12,1,1,18.466666666666665
INC0149,Variant 3,Medium,Feature Request,Website,8,5,1.0,0,40,16,0,14.833333333333334
INC0150,Variant 8,Medium,Performance Issue,Website,10,3,0.0,0,30,0,0,19.766666666666666
INC0151,Variant 1,High,Incident,Email,6,2,0.0,0,12,9,0,4.1
INC0152,Variant 1,Medium,Feature Request,Phone,6,3,0.0,0,18,17,0,10.016666666666667
INC0153,Variant 1,Medium,Feature Request,App,6,2,0.0,0,12,19,1,10.0
INC0154,Variant 11,High,Bug,Website,6,4,0.0,0,24,22,1,3.816666666666667
INC0155,Variant 3,Medium,Performance Issue,Email,8,4,1.0,0,32,21,1,15.716666666666667
INC0156,Variant 5,Medium,Incident,Website,12,5,1.0,1,60,14,0,20.316666666666666
INC0157,Variant 1,Medium,Maintenance,Website,6,3,0.0,0,18,12,0,8.233333333333333
INC0158,Variant 8,Medium,Bug,App,10,3,0.0,0,30,21,1,14.383333333333333
INC0159,Variant 8,Medium,Incident,Email,10,3,0.0,0,30,11,1,19.45
INC0160,Variant 12,Medium,Performance Issue,Website,6,3,0.0,0,18,9,0,8.85
INC0161,Variant 1,Medium,Feature Request,Website,6,3,0.0,0,18,8,0,9.866666666666667
INC0162,Variant 3,Medium,Incident,App,8,4,1.0,0,32,6,1,10.85
INC0163,Variant 3,Low,Technical Issue,Website,8,3,1.0,0,24,21,0,25.716666666666665
INC0164,Variant 1,High,Bug,Website,6,3,0.0,0,18,14,0,6.066666666666666
INC0165,Variant 3,Medium,Service Request,Website,8,5,1.0,0,40,2,0,13.5
INC0166,Variant 1,Medium,Performance Issue,Email,6,2,0.0,0,12,14,1,8.55
INC0167,Variant 3,Low,Performance Issue,Email,8,4,1.0,0,32,9,0,30.333333333333332
INC0168,Variant 3,Medium,Performance Issue,Email,8,4,1.0,0,32,19,1,14.466666666666667
INC0169,Variant 2,High,Performance Issue,Website,4,2,0.0,1,8,2,0,2.533333333333333
INC0170,Variant 4,Medium,Service Request,Email,7,4,1.0,0,28,20,1,14.383333333333333
INC0171,Variant 1,Medium,Incident,Email,6,3,0.0,0,18,2,1,7.483333333333333
INC0172,Variant 3,Medium,Performance Issue,Email,8,6,1.0,0,48,13,0,16.183333333333334
INC0173,Variant 3,Medium,Service Request,Website,8,4,1.0,0,32,12,1,10.35
INC0174,Variant 6,High,Feature Request,Website,10,8,2.0,0,80,11,1,7.45
INC0175,Variant 1,Low,Bug,Email,6,3,0.0,0,18,13,0,16.833333333333332
INC0176,Variant 3,Medium,Performance Issue,Phone,8,3,1.0,0,24,9,0,13.6
INC0177,Variant 1,Medium,Feature Request,Email,6,3,0.0,0,18,5,1,8.15
INC0179,Variant 5,Medium,Service Request,Website,12,6,1.0,1,72,4,1,19.633333333333333
INC0180,Variant 1,Medium,Bug,Website,6,3,0.0,0,18,12,1,11.15
INC0181,Variant 4,High,Incident,Website,7,5,1.0,0,35,22,0,5.783333333333333
INC0182,Variant 3,High,Performance Issue,Website,8,5,1.0,0,40,15,0,6.083333333333333
INC0183,Variant 1,Low,Incident,Email,6,3,0.0,0,18,23,0,16.916666666666668
INC0184,Variant 3,High,Maintenance,Email,8,4,1.0,0,32,0,0,6.533333333333333
INC0185,Variant 3,Medium,Performance Issue,App,8,4,1.0,0,32,8,0,11.783333333333333
INC0186,Variant 1,High,Bug,Email,6,3,0.0,0,18,6,1,5.566666666666666
INC0187,Variant 1,Low,Bug,Email,6,3,0.0,0,18,1,0,16.866666666666667
INC0188,Variant 3,Low,Feature Request,Website,8,4,1.0,0,32,7,1,28.3
INC0189,Variant 1,High,Maintenance,Website,6,2,0.0,0,12,1,1,5.466666666666667
INC0190,Variant 2,High,Bug,Website,4,3,0.0,1,12,3,0,2.8666666666666667
INC0191,Variant 1,Medium,Performance Issue,Website,6,3,0.0,0,18,17,1,9.266666666666667
INC0192,Variant 2,High,Bug,Email,4,2,0.0,1,8,21,1,1.3833333333333333
INC0193,Variant 3,Medium,Performance Issue,Website,8,5,1.0,0,40,7,0,11.1
INC0194,Variant 1,Medium,Service Request,Website,6,3,0.0,0,18,8,0,8.516666666666667
INC0195,Variant 3,Medium,Feature Request,Website,8,5,1.0,0,40,10,0,13.733333333333333
INC0196,Variant 1,Medium,Bug,Email,6,2,0.0,0,12,23,0,10.966666666666667
INC0197,Variant 5,Medium,Incident,Website,12,4,1.0,1,48,7,1,19.183333333333334
INC0198,Variant 3,Low,Performance Issue,Website,8,5,1.0,0,40,21,0,34.016666666666666
INC0199,Variant 4,Medium,Bug,Website,7,5,1.0,0,35,23,0,8.866666666666667
INC0200,Variant 11,High,Bug,Email,6,3,0.0,0,18,10,0,3.5
INC0201,Variant 1,Low,Feature Request,Website,6,3,0.0,0,18,13,0,20.0
INC0202,Variant 3,Medium,Service Request,Website,8,4,1.0,0,32,18,1,10.783333333333333
INC0203,Variant 1,High,Feature Request,Email,6,2,0.0,0,12,1,0,3.5166666666666666
INC0204,Variant 4,Medium,Bug,Email,7,3,1.0,0,21,13,0,13.5
INC0205,Variant 3,Medium,Service Request,Email,8,4,1.0,0,32,15,0,11.7
INC0206,Variant 3,High,Performance Issue,Website,8,4,1.0,0,32,3,1,6.433333333333334
INC0207,Variant 1,Medium,Bug,Website,6,3,0.0,0,18,8,1,8.55
INC0208,Variant 1,Low,Service Request,Website,6,3,0.0,0,18,15,0,18.383333333333333
INC0209,Variant 1,Medium,Service Request,Website,6,2,0.0,0,12,22,0,9.416666666666666
INC0210,Variant 1,Low,Bug,Website,6,3,0.0,0,18,3,1,18.333333333333332
INC0211,Variant 1,Medium,Bug,Email,6,3,0.0,0,18,8,1,9.433333333333334
INC0212,Variant 11,High,Feature Request,Email,6,3,0.0,0,18,22,0,5.083333333333333
INC0213,Variant 4,High,Performance Issue,Email,7,4,1.0,0,28,1,1,8.116666666666667
INC0214,Variant 1,Low,Maintenance,Email,6,3,0.0,0,18,16,0,14.45
INC0215,Variant 1,High,Feature Request,Email,6,2,0.0,0,12,8,0,5.883333333333334
INC0216,Variant 3,Medium,Incident,Website,8,5,1.0,0,40,6,0,11.133333333333333
INC0217,Variant 3,Medium,Performance Issue,Email,8,4,1.0,0,32,19,0,13.833333333333334
INC0218,Variant 3,High,Performance Issue,Website,8,5,1.0,0,40,15,0,7.7
INC0219,Variant 3,Medium,Performance Issue,Website,8,6,1.0,0,48,0,0,12.1
INC0220,Variant 3,Medium,Performance Issue,Website,8,5,1.0,0,40,12,0,12.2
INC0221,Variant 3,Low,Incident,Website,8,4,1.0,0,32,19,0,29.4
INC0222,Variant 3,Low,Feature Request,Email,8,5,1.0,0,40,16,1,25.883333333333333
INC0223,Variant 1,High,Technical Issue,Website,6,2,0.0,0,12,19,0,4.116666666666666
INC0225,Variant 1,Medium,Feature Request,Website,6,3,0.0,0,18,17,0,8.25
INC0226,Variant 7,Medium,Bug,Email,15,6,3.0,0,90,15,1,23.383333333333333
INC0227,Variant 5,Medium,Bug,Website,12,5,1.0,1,60,21,0,17.316666666666666
INC0228,Variant 1,Medium,Maintenance,Website,6,3,0.0,0,18,4,1,10.3
INC0229,Variant 12,High,Bug,Email,6,4,0.0,0,24,10,0,4.9
INC0230,Variant 3,Medium,Feature Request,Website,8,4,1.0,0,32,10,1,11.933333333333334
INC0231,Variant 3,Low,Maintenance,Website,8,4,1.0,0,32,20,1,32.766666666666666
INC0232,Variant 1,Low,Feature Request,Website,6,3,0.0,0,18,3,1,19.15
INC0233,Variant 3,Medium,Performance Issue,Website,8,4,1.0,0,32,21,1,13.883333333333333
INC0234,Variant 1,Medium,Feature Request,Website,6,3,0.0,0,18,9,0,8.15
INC0235,Variant 4,Medium,Performance Issue,Email,7,4,1.0,0,28,9,0,11.1
INC0236,Variant 11,Medium,Incident,Website,6,3,0.0,0,18,22,0,11.766666666666667
INC0237,Variant 1,Medium,Service Request,Website,6,2,0.0,0,12,12,1,9.166666666666666
INC0238,Variant 3,High,Feature Request,Phone,8,4,1.0,0,32,0,0,6.2
INC0239,Variant 1,Medium,Bug,Email,6,2,0.0,0,12,9,1,8.716666666666667
INC0240,Variant 3,Low,Performance Issue,Email,8,4,1.0,0,32,13,0,28.05
INC0241,Variant 3,Low,Incident,Email,8,5,1.0,0,40,15,1,28.683333333333334
INC0242,Variant 1,Low,Feature Request,Website,6,3,0.0,0,18,9,0,17.6
INC0243,Variant 1,Medium,Service Request,Website,6,2,0.0,0,12,20,1,10.316666666666666
INC0244,Variant 3,Medium,Performance Issue,Email,8,4,1.0,0,32,5,0,10.5
INC0245,Variant 3,Medium,Service Request,Website,8,6,1.0,0,48,9,0,17.683333333333334
INC0246,Variant 1,High,Performance Issue,Email,6,3,0.0,0,18,19,0,5.066666666666666
INC0247,Variant 3,Medium,Performance Issue,Email,8,4,1.0,0,32,18,1,11.966666666666667
INC0248,Variant 3,Low,Service Request,Website,8,4,1.0,0,32,14,0,21.5
INC0249,Variant 1,Low,Performance Issue,Email,6,3,0.0,0,18,16,1,18.45
INC0250,Variant 3,Low,Feature Request,Email,8,5,1.0,0,40,20,0,31.066666666666666
INC0251,Variant 3,Low,Performance Issue,Email,8,4,1.0,0,32,10,1,21.1
INC0252,Variant 8,Low,Performance Issue,Website,10,2,0.0,0,20,17,1,33.666666666666664
INC0253,Variant 1,Medium,Feature Request,Website,6,2,0.0,0,12,19,1,9.066666666666666
INC0254,Variant 3,Low,Performance Issue,Email,8,3,1.0,0,24,22,1,30.85
INC0255,Variant 3,Medium,Technical Issue,Website,8,6,1.0,0,48,13,1,13.383333333333333
INC0256,Variant 1,Medium,Feature Request,Website,6,3,0.0,0,18,6,0,11.516666666666667
INC0257,Variant 3,Medium,Feature Request,Email,8,5,1.0,0,40,15,1,11.45
INC0258,Variant 3,Medium,Performance Issue,Website,8,4,1.0,0,32,9,0,13.883333333333333
INC0259,Variant 3,Medium,Service Request,Website,8,5,1.0,0,40,3,1,10.216666666666667
INC0260,Variant 3,Low,Service Request,Website,8,5,1.0,0,40,15,0,25.516666666666666
INC0261,Variant 3,Medium,Performance Issue,Email,8,6,1.0,0,48,3,0,15.133333333333333
INC0262,Variant 1,Medium,Incident,Phone,6,3,0.0,0,18,13,0,10.616666666666667
INC0263,Variant 1,High,Performance Issue,Email,6,3,0.0,0,18,8,0,5.316666666666666
INC0264,Variant 1,Medium,Performance Issue,Website,6,2,0.0,0,12,8,1,10.683333333333334
INC0265,Variant 5,Medium,Performance Issue,Email,12,5,1.0,1,60,3,0,19.666666666666668
INC0266,Variant 4,High,Incident,Website,7,4,1.0,0,28,21,1,6.45
INC0267,Variant 2,Medium,Feature Request,Website,4,2,0.0,1,8,4,0,4.933333333333334
INC0268,Variant 1,Low,Feature Request,Email,6,3,0.0,0,18,23,1,19.9
INC0269,Variant 3,Medium,Performance Issue,Website,8,5,1.0,0,40,14,0,13.466666666666667
INC0270,Variant 3,Low,Service Request,Website,8,4,1.0,0,32,9,1,30.983333333333334
INC0271,Variant 5,Medium,Service Request,Email,12,5,1.0,1,60,14,1,20.383333333333333
INC0272,Variant 3,Medium,Feature Request,Website,8,5,1.0,0,40,4,0,10.533333333333333
INC0273,Variant 3,Medium,Incident,Website,8,3,1.0,0,24,12,0,14.216666666666667
INC0274,Variant 1,Low,Service Request,Email,6,3,0.0,0,18,10,1,19.733333333333334
INC0275,Variant 1,Low,Technical Issue,Email,6,2,0.0,0,12,5,1,20.316666666666666
INC0276,Variant 3,High,Feature Request,Website,8,5,1.0,0,40,13,0,7.233333333333333
INC0277,Variant 1,High,Incident,Website,6,3,0.0,0,18,6,0,4.633333333333334
INC0278,Variant 4,Medium,Bug,Website,7,4,1.0,0,28,2,0,8.883333333333333
INC0279,Variant 1,Low,Bug,Email,6,3,0.0,0,18,0,0,20.4
INC0280,Variant 1,Medium,Performance Issue,Website,6,3,0.0,0,18,22,0,8.033333333333333
INC0281,Variant 7,High,Bug,Website,15,6,3.0,0,90,19,1,11.983333333333333
INC0282,Variant 1,High,Bug,Website,6,3,0.0,0,18,0,0,5.533333333333333
INC0283,Variant 3,High,Performance Issue,Website,8,4,1.0,0,32,22,1,6.216666666666667
INC0284,Variant 3,Medium,Performance Issue,Website,8,4,1.0,0,32,22,0,16.483333333333334
INC0285,Variant 8,Medium,Incident,Email,10,3,0.0,0,30,18,0,14.7
INC0286,Variant 3,Medium,Performance Issue,Email,8,4,1.0,0,32,6,0,10.433333333333334
INC0287,Variant 1,Medium,Technical Issue,Email,6,3,0.0,0,18,22,1,9.616666666666667
INC0288,Variant 3,Medium,Feature Request,Website,8,6,1.0,0,48,16,0,14.5
INC0289,Variant 4,High,Bug,Website,7,4,1.0,0,28,2,0,6.05
INC0290,Variant 8,High,Performance Issue,Website,10,3,0.0,0,30,0,0,11.283333333333333
INC0291,Variant 1,Low,Incident,Website,6,3,0.0,0,18,12,0,22.683333333333334
INC0292,Variant 3,Low,Performance Issue,Email,8,5,1.0,0,40,17,0,33.65
INC0293,Variant 1,Medium,Service Request,Email,6,3,0.0,0,18,1,0,6.716666666666667
INC0295,Variant 3,Medium,Feature Request,Email,8,5,1.0,0,40,3,0,15.483333333333333
INC0296,Variant 3,Medium,Performance Issue,Website,8,5,1.0,0,40,21,0,12.466666666666667
INC0297,Variant 1,Medium,Bug,Email,6,2,0.0,0,12,23,0,8.333333333333334
INC0298,Variant 1,Low,Bug,Website,6,2,0.0,0,12,21,1,16.533333333333335
INC0299,Variant 7,Medium,Bug,Website,15,8,3.0,0,120,7,0,22.666666666666668
INC0300,Variant 3,High,Feature Request,Email,8,5,1.0,0,40,20,0,7.95
INC0301,Variant 4,Low,Service Request,Email,7,4,1.0,0,28,20,1,30.916666666666668
INC0302,Variant 3,Medium,Performance Issue,Website,8,5,1.0,0,40,11,0,14.933333333333334
INC0303,Variant 3,Low,Maintenance,Email,8,5,1.0,0,40,23,1,28.033333333333335
INC0304,Variant 3,Low,Service Request,Email,8,4,1.0,0,32,22,0,24.316666666666666
INC0305,Variant 10,High,Performance Issue,Website,6,3,1.0,1,18,7,0,5.266666666666667
INC0306,Variant 1,Medium,Bug,Email,6,3,0.0,0,18,14,1,7.833333333333333
INC0308,Variant 1,Medium,Bug,Website,6,3,0.0,0,18,0,0,7.9
