Variant,Priority,Issue Type,Report Channel,Step_count,Reassignment_count,Escalation_count,Has_Bounce,Workload_Index,Open_Hour,Is_Weekend,SLA_Violation
Variant 3,Low,Feature Request,Email,8,6,1.0,0,48,22,0,0
Variant 5,Medium,Performance Issue,Email,12,6,1.0,1,72,18,0,0
Variant 1,Medium,Feature Request,Phone,6,2,0.0,0,12,23,0,0
Variant 3,Medium,Service Request,Email,8,5,1.0,0,40,19,0,0
Variant 3,High,Performance Issue,Website,8,5,1.0,0,40,16,0,0
Variant 3,Low,Performance Issue,Email,8,6,1.0,0,48,0,0,0
Variant 2,Medium,Maintenance,Website,4,2,0.0,1,8,14,0,0
Variant 3,Medium,Performance Issue,Email,8,5,1.0,0,40,19,0,0
Variant 3,Medium,Incident,Website,8,4,1.0,0,32,13,0,0
Variant 1,Low,Bug,Email,6,3,0.0,0,18,13,1,0
Variant 1,Low,Service Request,Website,6,2,0.0,0,12,21,0,0
Variant 1,Medium,Technical Issue,Email,6,2,0.0,0,12,16,0,0
Variant 3,Low,Performance Issue,Website,8,4,1.0,0,32,11,0,0
Variant 4,Medium,Bug,Website,7,4,1.0,0,28,9,0,0
Variant 8,Low,Performance Issue,Website,10,3,0.0,0,30,11,0,0
Variant 1,Low,Maintenance,Website,6,3,0.0,0,18,4,0,0
Variant 1,Medium,Performance Issue,Email,6,3,0.0,0,18,17,0,0
Variant 3,Low,Performance Issue,App,8,3,1.0,0,24,13,1,0
Variant 4,Medium,Performance Issue,Email,7,4,1.0,0,28,18,0,0
Variant 1,Low,Performance Issue,Website,6,3,0.0,0,18,3,1,0
Variant 3,Medium,Performance Issue,Email,8,5,1.0,0,40,22,0,0
Variant 4,Medium,Bug,Email,7,4,1.0,0,28,12,0,0
Variant 3,Medium,Feature Request,Website,8,4,1.0,0,32,23,1,0
Variant 3,Low,Technical Issue,Website,8,3,1.0,0,24,19,0,0
Variant 5,Medium,Bug,Email,12,5,1.0,1,60,23,0,0
Variant 3,Low,Incident,Website,8,5,1.0,0,40,2,0,0
Variant 1,Medium,Bug,Email,6,3,0.0,0,18,12,0,0
Variant 5,Medium,Technical Issue,Email,12,5,1.0,1,60,5,0,0
Variant 3,Medium,Incident,Website,8,4,1.0,0,32,22,0,0
Variant 1,Medium,Feature Request,Website,6,2,0.0,0,12,21,0,0
Variant 4,High,Incident,Email,7,3,1.0,0,21,15,0,0
Variant 1,High,Bug,Email,6,3,0.0,0,18,6,0,0
Variant 3,High,Performance Issue,Website,8,5,1.0,0,40,20,0,0
Variant 3,Low,Performance Issue,Website,8,4,1.0,0,32,6,0,0
Variant 1,Medium,Performance Issue,Email,6,3,0.0,0,18,7,0,0
Variant 4,Medium,Technical Issue,Email,7,4,1.0,0,28,19,0,0
Variant 1,Medium,Maintenance,Website,6,3,0.0,0,18,1,0,0
Variant 5,High,Bug,Email,12,6,1.0,1,72,12,1,1
Variant 1,Medium,Incident,Email,6,3,0.0,0,18,1,0,0
Variant 3,Medium,Performance Issue,Email,8,4,1.0,0,32,10,1,0
Variant 8,Low,Performance Issue,Website,10,3,0.0,0,30,23,0,0
Variant 12,Low,Feature Request,Website,6,3,0.0,0,18,0,1,0
Variant 1,Medium,Incident,Website,6,2,0.0,0,12,6,0,0
Variant 3,Medium,Performance Issue,App,8,4,1.0,0,32,12,0,0
Variant 6,Medium,Service Request,Website,10,5,2.0,0,50,10,0,0
Variant 3,Medium,Performance Issue,Website,8,4,1.0,0,32,10,0,0
Variant 3,High,Service Request,Website,8,5,1.0,0,40,4,0,0
Variant 1,Medium,Bug,Email,6,2,0.0,0,12,5,1,0
Variant 3,Medium,Service Request,Email,8,4,1.0,0,32,20,0,0
Variant 3,High,Performance Issue,App,8,5,1.0,0,40,8,0,0
Variant 3,Medium,Feature Request,Website,8,6,1.0,0,48,0,0,0
Variant 1,Low,Technical Issue,Email,6,3,0.0,0,18,15,1,0
Variant 3,Low,Performance Issue,Website,8,4,1.0,0,32,0,0,0
Variant 3,Medium,Performance Issue,Email,8,5,1.0,0,40,7,0,0
Variant 3,Medium,Service Request,Website,8,4,1.0,0,32,13,0,0
Variant 1,Medium,Bug,Website,6,3,0.0,0,18,4,0,0
Variant 1,Low,Feature Request,Email,6,2,0.0,0,12,1,1,0
Variant 3,Medium,Feature Request,Website,8,5,1.0,0,40,16,0,0
Variant 8,Medium,Performance Issue,Website,10,3,0.0,0,30,0,0,0
Variant 1,High,Incident,Email,6,2,0.0,0,12,9,0,0
Variant 1,Medium,Feature Request,Phone,6,3,0.0,0,18,17,0,0
Variant 1,Medium,Feature Request,App,6,2,0.0,0,12,19,1,0
Variant 11,High,Bug,Website,6,4,0.0,0,24,22,1,0
Variant 3,Medium,Performance Issue,Email,8,4,1.0,0,32,21,1,0
Variant 5,Medium,Incident,Website,12,5,1.0,1,60,14,0,0
Variant 1,Medium,Maintenance,Website,6,3,0.0,0,18,12,0,0
Variant 8,Medium,Bug,App,10,3,0.0,0,30,21,1,0
Variant 8,Medium,Incident,Email,10,3,0.0,0,30,11,1,0
Variant 12,Medium,Performance Issue,Website,6,3,0.0,0,18,9,0,0
Variant 1,Medium,Feature Request,Website,6,3,0.0,0,18,8,0,0
Variant 3,Medium,Incident,App,8,4,1.0,0,32,6,1,0
Variant 3,Low,Technical Issue,Website,8,3,1.0,0,24,21,0,0
Variant 1,High,Bug,Website,6,3,0.0,0,18,14,0,0
Variant 3,Medium,Service Request,Website,8,5,1.0,0,40,2,0,0
Variant 1,Medium,Performance Issue,Email,6,2,0.0,0,12,14,1,0
Variant 3,Low,Performance Issue,Email,8,4,1.0,0,32,9,0,0
Variant 3,Medium,Performance Issue,Email,8,4,1.0,0,32,19,1,0
Variant 2,High,Performance Issue,Website,4,2,0.0,1,8,2,0,0
Variant 4,Medium,Service Request,Email,7,4,1.0,0,28,20,1,0
Variant 1,Medium,Incident,Email,6,3,0.0,0,18,2,1,0
Variant 3,Medium,Performance Issue,Email,8,6,1.0,0,48,13,0,0
Variant 3,Medium,Service Request,Website,8,4,1.0,0,32,12,1,0
Variant 6,High,Feature Request,Website,10,8,2.0,0,80,11,1,0
Variant 1,Low,Bug,Email,6,3,0.0,0,18,13,0,0
Variant 3,Medium,Performance Issue,Phone,8,3,1.0,0,24,9,0,0
Variant 1,Medium,Feature Request,Email,6,3,0.0,0,18,5,1,0
Variant 5,Medium,Service Request,Website,12,6,1.0,1,72,4,1,0
Variant 1,Medium,Bug,Website,6,3,0.0,0,18,12,1,0
Variant 4,High,Incident,Website,7,5,1.0,0,35,22,0,0
Variant 3,High,Performance Issue,Website,8,5,1.0,0,40,15,0,0
Variant 1,Low,Incident,Email,6,3,0.0,0,18,23,0,0
Variant 3,High,Maintenance,Email,8,4,1.0,0,32,0,0,0
Variant 3,Medium,Performance Issue,App,8,4,1.0,0,32,8,0,0
Variant 1,High,Bug,Email,6,3,0.0,0,18,6,1,0
Variant 1,Low,Bug,Email,6,3,0.0,0,18,1,0,0
Variant 3,Low,Feature Request,Website,8,4,1.0,0,32,7,1,0
Variant 1,High,Maintenance,Website,6,2,0.0,0,12,1,1,0
Variant 2,High,Bug,Website,4,3,0.0,1,12,3,0,0
Variant 1,Medium,Performance Issue,Website,6,3,0.0,0,18,17,1,0
Variant 2,High,Bug,Email,4,2,0.0,1,8,21,1,0
Variant 3,Medium,Performance Issue,Website,8,5,1.0,0,40,7,0,0
Variant 1,Medium,Service Request,Website,6,3,0.0,0,18,8,0,0
Variant 3,Medium,Feature Request,Website,8,5,1.0,0,40,10,0,0
Variant 1,Medium,Bug,Email,6,2,0.0,0,12,23,0,0
Variant 5,Medium,Incident,Website,12,4,1.0,1,48,7,1,0
Variant 3,Low,Performance Issue,Website,8,5,1.0,0,40,21,0,0
Variant 4,Medium,Bug,Website,7,5,1.0,0,35,23,0,0
Variant 11,High,Bug,Email,6,3,0.0,0,18,10,0,0
Variant 1,Low,Feature Request,Website,6,3,0.0,0,18,13,0,0
Variant 3,Medium,Service Request,Website,8,4,1.0,0,32,18,1,0
Variant 1,High,Feature Request,Email,6,2,0.0,0,12,1,0,0
Variant 4,Medium,Bug,Email,7,3,1.0,0,21,13,0,0
Variant 3,Medium,Service Request,Email,8,4,1.0,0,32,15,0,0
Variant 3,High,Performance Issue,Website,8,4,1.0,0,32,3,1,0
Variant 1,Medium,Bug,Website,6,3,0.0,0,18,8,1,0
Variant 1,Low,Service Request,Website,6,3,0.0,0,18,15,0,0
Variant 1,Medium,Service Request,Website,6,2,0.0,0,12,22,0,0
Variant 1,Low,Bug,Website,6,3,0.0,0,18,3,1,0
Variant 1,Medium,Bug,Email,6,3,0.0,0,18,8,1,0
Variant 11,High,Feature Request,Email,6,3,0.0,0,18,22,0,0
Variant 4,High,Performance Issue,Email,7,4,1.0,0,28,1,1,1
Variant 1,Low,Maintenance,Email,6,3,0.0,0,18,16,0,0
Variant 1,High,Feature Request,Email,6,2,0.0,0,12,8,0,0
Variant 3,Medium,Incident,Website,8,5,1.0,0,40,6,0,0
Variant 3,Medium,Performance Issue,Email,8,4,1.0,0,32,19,0,0
Variant 3,High,Performance Issue,Website,8,5,1.0,0,40,15,0,0
Variant 3,Medium,Performance Issue,Website,8,6,1.0,0,48,0,0,0
Variant 3,Medium,Performance Issue,Website,8,5,1.0,0,40,12,0,0
Variant 3,Low,Incident,Website,8,4,1.0,0,32,19,0,0
Variant 3,Low,Feature Request,Email,8,5,1.0,0,40,16,1,0
Variant 1,High,Technical Issue,Website,6,2,0.0,0,12,19,0,0
Variant 1,Medium,Feature Request,Website,6,3,0.0,0,18,17,0,0
Variant 7,Medium,Bug,Email,15,6,3.0,0,90,15,1,0
Variant 5,Medium,Bug,Website,12,5,1.0,1,60,21,0,0
Variant 1,Medium,Maintenance,Website,6,3,0.0,0,18,4,1,0
Variant 12,High,Bug,Email,6,4,0.0,0,24,10,0,0
Variant 3,Medium,Feature Request,Website,8,4,1.0,0,32,10,1,0
Variant 3,Low,Maintenance,Website,8,4,1.0,0,32,20,1,0
Variant 1,Low,Feature Request,Website,6,3,0.0,0,18,3,1,0
Variant 3,Medium,Performance Issue,Website,8,4,1.0,0,32,21,1,0
Variant 1,Medium,Feature Request,Website,6,3,0.0,0,18,9,0,0
Variant 4,Medium,Performance Issue,Email,7,4,1.0,0,28,9,0,0
Variant 11,Medium,Incident,Website,6,3,0.0,0,18,22,0,0
Variant 1,Medium,Service Request,Website,6,2,0.0,0,12,12,1,0
Variant 3,High,Feature Request,Phone,8,4,1.0,0,32,0,0,0
Variant 1,Medium,Bug,Email,6,2,0.0,0,12,9,1,0
Variant 3,Low,Performance Issue,Email,8,4,1.0,0,32,13,0,0
Variant 3,Low,Incident,Email,8,5,1.0,0,40,15,1,0
Variant 1,Low,Feature Request,Website,6,3,0.0,0,18,9,0,0
Variant 1,Medium,Service Request,Website,6,2,0.0,0,12,20,1,0
Variant 3,Medium,Performance Issue,Email,8,4,1.0,0,32,5,0,0
Variant 3,Medium,Service Request,Website,8,6,1.0,0,48,9,0,0
Variant 1,High,Performance Issue,Email,6,3,0.0,0,18,19,0,0
Variant 3,Medium,Performance Issue,Email,8,4,1.0,0,32,18,1,0
Variant 3,Low,Service Request,Website,8,4,1.0,0,32,14,0,0
Variant 1,Low,Performance Issue,Email,6,3,0.0,0,18,16,1,0
Variant 3,Low,Feature Request,Email,8,5,1.0,0,40,20,0,0
Variant 3,Low,Performance Issue,Email,8,4,1.0,0,32,10,1,0
Variant 8,Low,Performance Issue,Website,10,2,0.0,0,20,17,1,0
Variant 1,Medium,Feature Request,Website,6,2,0.0,0,12,19,1,0
Variant 3,Low,Performance Issue,Email,8,3,1.0,0,24,22,1,0
Variant 3,Medium,Technical Issue,Website,8,6,1.0,0,48,13,1,0
Variant 1,Medium,Feature Request,Website,6,3,0.0,0,18,6,0,0
Variant 3,Medium,Feature Request,Email,8,5,1.0,0,40,15,1,0
Variant 3,Medium,Performance Issue,Website,8,4,1.0,0,32,9,0,0
Variant 3,Medium,Service Request,Website,8,5,1.0,0,40,3,1,0
Variant 3,Low,Service Request,Website,8,5,1.0,0,40,15,0,0
Variant 3,Medium,Performance Issue,Email,8,6,1.0,0,48,3,0,0
Variant 1,Medium,Incident,Phone,6,3,0.0,0,18,13,0,0
Variant 1,High,Performance Issue,Email,6,3,0.0,0,18,8,0,0
Variant 1,Medium,Performance Issue,Website,6,2,0.0,0,12,8,1,0
Variant 5,Medium,Performance Issue,Email,12,5,1.0,1,60,3,0,0
Variant 4,High,Incident,Website,7,4,1.0,0,28,21,1,0
Variant 2,Medium,Feature Request,Website,4,2,0.0,1,8,4,0,0
Variant 1,Low,Feature Request,Email,6,3,0.0,0,18,23,1,0
Variant 3,Medium,Performance Issue,Website,8,5,1.0,0,40,14,0,0
Variant 3,Low,Service Request,Website,8,4,1.0,0,32,9,1,0
Variant 5,Medium,Service Request,Email,12,5,1.0,1,60,14,1,0
Variant 3,Medium,Feature Request,Website,8,5,1.0,0,40,4,0,0
Variant 3,Medium,Incident,Website,8,3,1.0,0,24,12,0,0
Variant 1,Low,Service Request,Email,6,3,0.0,0,18,10,1,0
Variant 1,Low,Technical Issue,Email,6,2,0.0,0,12,5,1,0
Variant 3,High,Feature Request,Website,8,5,1.0,0,40,13,0,0
Variant 1,High,Incident,Website,6,3,0.0,0,18,6,0,0
Variant 4,Medium,Bug,Website,7,4,1.0,0,28,2,0,0
Variant 1,Low,Bug,Email,6,3,0.0,0,18,0,0,0
Variant 1,Medium,Performance Issue,Website,6,3,0.0,0,18,22,0,0
Variant 7,High,Bug,Website,15,6,3.0,0,90,19,1,1
Variant 1,High,Bug,Website,6,3,0.0,0,18,0,0,0
Variant 3,High,Performance Issue,Website,8,4,1.0,0,32,22,1,0
Variant 3,Medium,Performance Issue,Website,8,4,1.0,0,32,22,0,0
Variant 8,Medium,Incident,Email,10,3,0.0,0,30,18,0,0
Variant 3,Medium,Performance Issue,Email,8,4,1.0,0,32,6,0,0
Variant 1,Medium,Technical Issue,Email,6,3,0.0,0,18,22,1,0
Variant 3,Medium,Feature Request,Website,8,6,1.0,0,48,16,0,0
Variant 4,High,Bug,Website,7,4,1.0,0,28,2,0,0
Variant 8,High,Performance Issue,Website,10,3,0.0,0,30,0,0,1
Variant 1,Low,Incident,Website,6,3,0.0,0,18,12,0,0
Variant 3,Low,Performance Issue,Email,8,5,1.0,0,40,17,0,0
Variant 1,Medium,Service Request,Email,6,3,0.0,0,18,1,0,0
Variant 3,Medium,Feature Request,Email,8,5,1.0,0,40,3,0,0
Variant 3,Medium,Performance Issue,Website,8,5,1.0,0,40,21,0,0
Variant 1,Medium,Bug,Email,6,2,0.0,0,12,23,0,0
Variant 1,Low,Bug,Website,6,2,0.0,0,12,21,1,0
Variant 7,Medium,Bug,Website,15,8,3.0,0,120,7,0,0
Variant 3,High,Feature Request,Email,8,5,1.0,0,40,20,0,0
Variant 4,Low,Service Request,Email,7,4,1.0,0,28,20,1,0
Variant 3,Medium,Performance Issue,Website,8,5,1.0,0,40,11,0,0
Variant 3,Low,Maintenance,Email,8,5,1.0,0,40,23,1,0
Variant 3,Low,Service Request,Email,8,4,1.0,0,32,22,0,0
Variant 10,High,Performance Issue,Website,6,3,1.0,1,18,7,0,0
Variant 1,Medium,Bug,Email,6,3,0.0,0,18,14,1,0
Variant 1,Medium,Bug,Website,6,3,0.0,0,18,0,0,0
Variant 3,Low,Incident,Website,8,5,1.0,0,40,11,0,0
Variant 2,Low,Feature Request,Website,4,2,0.0,1,8,8,0,0
Variant 1,High,Bug,Email,6,3,0.0,0,18,13,1,0
Variant 4,Medium,Service Request,Website,7,4,1.0,0,28,8,0,0
Variant 3,Medium,Feature Request,Email,8,5,1.0,0,40,18,1,0
Variant 3,Medium,Incident,Email,8,5,1.0,0,40,15,0,0
Variant 1,Low,Incident,Email,6,3,0.0,0,18,6,0,0
Variant 1,High,Incident,App,6,2,0.0,0,12,8,0,0
Variant 3,High,Service Request,Website,8,5,1.0,0,40,1,1,0
Variant 4,High,Bug,Email,7,5,1.0,0,35,7,1,0
Variant 1,Medium,Bug,Website,6,2,0.0,0,12,12,0,0
Variant 8,High,Feature Request,Email,10,3,0.0,0,30,9,0,1
Variant 3,Medium,Maintenance,Website,8,5,1.0,0,40,19,0,0
Variant 10,High,Incident,Email,6,3,1.0,1,18,19,0,0
Variant 1,High,Maintenance,Website,6,3,0.0,0,18,22,0,0
Variant 8,Medium,Bug,Email,10,3,0.0,0,30,2,0,0
Variant 3,Medium,Service Request,Email,8,5,1.0,0,40,3,0,0
Variant 3,Medium,Performance Issue,Website,8,5,1.0,0,40,5,1,0
Variant 7,Medium,Bug,Email,15,8,3.0,0,120,7,0,0
Variant 3,High,Feature Request,Website,8,4,1.0,0,32,19,0,0
Variant 3,Medium,Performance Issue,Website,8,4,1.0,0,32,19,0,0
Variant 1,Medium,Performance Issue,Email,6,2,0.0,0,12,23,0,0
Variant 3,High,Performance Issue,Website,8,4,1.0,0,32,10,1,0
Variant 2,Low,Feature Request,Website,4,2,0.0,1,8,11,0,0
Variant 1,Medium,Performance Issue,Phone,6,3,0.0,0,18,18,0,0
Variant 3,Low,Service Request,Website,8,4,1.0,0,32,4,0,0
Variant 3,Medium,Feature Request,Website,8,5,1.0,0,40,10,0,0
Variant 1,Medium,Feature Request,Website,6,2,0.0,0,12,4,1,0
Variant 1,Medium,Service Request,Email,6,3,0.0,0,18,11,0,0
Variant 2,Medium,Performance Issue,App,4,3,0.0,1,12,23,0,0
Variant 2,Medium,Incident,Website,4,3,0.0,1,12,1,0,0
Variant 1,Medium,Bug,Email,6,3,0.0,0,18,16,1,0
Variant 1,High,Feature Request,App,6,3,0.0,0,18,4,0,0
Variant 1,Medium,Incident,Website,6,3,0.0,0,18,22,1,0
Variant 1,Low,Performance Issue,Website,6,2,0.0,0,12,10,0,0
Variant 2,High,Bug,Website,4,2,0.0,1,8,23,1,0
Variant 3,Low,Feature Request,App,8,4,1.0,0,32,22,0,0
Variant 3,Medium,Incident,Email,8,4,1.0,0,32,19,0,0
Variant 1,Low,Incident,Email,6,2,0.0,0,12,12,1,0
Variant 1,Medium,Bug,Phone,6,3,0.0,0,18,18,0,0
Variant 1,Medium,Incident,App,6,3,0.0,0,18,5,0,0
Variant 1,Medium,Incident,Website,6,2,0.0,0,12,16,1,0
Variant 1,Medium,Incident,Email,6,3,0.0,0,18,2,0,0
Variant 1,High,Bug,Email,6,3,0.0,0,18,2,0,0
Variant 3,Low,Performance Issue,Email,8,6,1.0,0,48,12,1,0
Variant 1,High,Incident,Email,6,3,0.0,0,18,5,1,0
Variant 9,Low,Feature Request,Website,10,4,1.0,0,40,5,0,0
Variant 3,High,Performance Issue,Website,8,6,1.0,0,48,19,0,0
Variant 3,High,Performance Issue,Email,8,6,1.0,0,48,16,0,0
Variant 1,Medium,Service Request,Phone,6,3,0.0,0,18,17,0,0
Variant 3,Low,Performance Issue,Email,8,3,1.0,0,24,20,1,0
Variant 3,Low,Performance Issue,Website,8,3,1.0,0,24,19,0,0
Variant 4,Medium,Incident,Website,7,3,1.0,0,21,21,0,0
Variant 3,Medium,Feature Request,Website,8,4,1.0,0,32,22,0,0
Variant 3,High,Service Request,Phone,8,6,1.0,0,48,19,1,0
Variant 1,Medium,Performance Issue,Email,6,3,0.0,0,18,0,0,0
Variant 3,Low,Performance Issue,Email,8,5,1.0,0,40,21,0,0
Variant 3,Medium,Performance Issue,Email,8,4,1.0,0,32,22,0,0
Variant 1,Low,Technical Issue,Email,6,3,0.0,0,18,5,0,0
Variant 1,Medium,Bug,Website,6,3,0.0,0,18,18,0,0
Variant 1,Medium,Performance Issue,Website,6,3,0.0,0,18,17,0,0
Variant 8,Medium,Incident,Website,10,3,0.0,0,30,3,1,0
Variant 1,Low,Feature Request,Website,6,3,0.0,0,18,23,0,0
Variant 7,High,Bug,Website,15,7,3.0,0,105,6,1,1
Variant 3,Medium,Feature Request,App,8,4,1.0,0,32,9,0,0
Variant 3,Medium,Feature Request,Website,8,4,1.0,0,32,2,0,0
Variant 1,Low,Bug,Website,6,3,0.0,0,18,14,1,0
Variant 1,Low,Feature Request,Website,6,3,0.0,0,18,18,0,0
Variant 1,Medium,Technical Issue,Website,6,3,0.0,0,18,23,1,0
Variant 1,Medium,Bug,Website,6,3,0.0,0,18,20,1,0
Variant 1,Medium,Service Request,Website,6,3,0.0,0,18,20,1,0
Variant 3,High,Performance Issue,Website,8,6,1.0,0,48,15,0,1
Variant 3,Medium,Performance Issue,Website,8,4,1.0,0,32,15,1,0
Variant 1,Medium,Feature Request,Email,6,3,0.0,0,18,19,0,0
Variant 8,High,Maintenance,Email,10,3,0.0,0,30,1,1,1
Variant 1,High,Service Request,Email,6,3,0.0,0,18,23,0,0
Variant 1,Low,Bug,App,6,2,0.0,0,12,11,0,0
Variant 3,Low,Performance Issue,Website,8,3,1.0,0,24,23,0,0
Variant 3,Medium,Incident,Email,8,4,1.0,0,32,15,1,0
Variant 8,High,Feature Request,Website,10,3,0.0,0,30,13,1,1
Variant 1,High,Bug,Website,6,3,0.0,0,18,23,0,0
Variant 1,Low,Performance Issue,Email,6,3,0.0,0,18,12,1,0
Variant 13,Low,Bug,Email,11,5,1.0,0,55,21,0,0
Variant 5,High,Incident,Website,12,6,1.0,1,72,14,0,1
