Case ID,Priority,Issue Type,Report Channel,Variant,Step_count,Reassignment_count,Escalation_count,Has_Bounce,Workload_Index,Open_Hour,Is_Weekend,SLA_Violation,SLA_Risk_Probability,Risk_Level
INC0018,Low,Technical Issue,Website,Variant 1,6,3,0.0,0,18,2,1,0,0.0,Dusuk
INC0019,Low,Incident,Email,Variant 3,8,5,1.0,0,40,21,1,0,0.005613279116407314,Dusuk
INC0020,Medium,Performance Issue,Website,Variant 3,8,4,1.0,0,32,14,0,0,0.0019374195212224158,Dusuk
INC0021,Medium,Incident,Email,Variant 3,8,3,1.0,0,24,1,0,0,0.006382788141260223,Dusuk
INC0022,Medium,Performance Issue,Email,Variant 6,10,5,2.0,0,50,16,0,0,0.02204754215839479,Dusuk
INC0023,High,Bug,Email,Variant 4,7,3,1.0,0,21,15,1,0,0.12013366009850028,Dusuk
INC0024,Low,Performance Issue,Website,Variant 3,8,5,1.0,0,40,20,1,0,0.005494562198896728,Dusuk
INC0025,Low,Performance Issue,Email,Variant 1,6,3,0.0,0,18,5,0,0,0.0,Dusuk
INC0026,Medium,Incident,Website,Variant 3,8,4,1.0,0,32,7,0,0,0.0019374195212224158,Dusuk
INC0027,Low,Performance Issue,App,Variant 1,6,3,0.0,0,18,20,0,0,0.0,Dusuk
INC0028,Medium,Service Request,Website,Variant 3,8,4,1.0,0,32,17,1,0,0.0,Dusuk
INC0029,Medium,Technical Issue,Phone,Variant 5,12,5,1.0,1,60,7,0,0,0.033736227290009996,Dusuk
INC0030,Low,Feature Request,Email,Variant 4,7,4,1.0,0,28,15,0,0,0.0,Dusuk
INC0031,Medium,Incident,Website,Variant 10,6,4,1.0,1,24,7,1,0,0.0,Dusuk
INC0032,High,Performance Issue,Website,Variant 3,8,4,1.0,0,32,2,1,0,0.06847122202764985,Dusuk
INC0033,Low,Bug,Email,Variant 6,10,7,2.0,0,70,7,1,0,0.04634715487972265,Dusuk
INC0035,Low,Technical Issue,Email,Variant 1,6,2,0.0,0,12,23,0,0,0.0,Dusuk
INC0036,Low,Performance Issue,Email,Variant 3,8,4,1.0,0,32,1,0,0,0.004472933389127708,Dusuk
INC0037,Medium,Performance Issue,Website,Variant 3,8,5,1.0,0,40,3,0,0,0.0019374195212224158,Dusuk
INC0038,Medium,Feature Request,Website,Variant 1,6,3,0.0,0,18,17,0,0,0.0,Dusuk
INC0039,Low,Bug,Email,Variant 1,6,3,0.0,0,18,4,1,0,0.0,Dusuk
INC0040,Medium,Performance Issue,Email,Variant 1,6,3,0.0,0,18,18,0,0,0.0,Dusuk
INC0041,Low,Feature Request,Website,Variant 8,10,3,0.0,0,30,14,0,0,0.07010933821711157,Dusuk
INC0042,Medium,Feature Request,Email,Variant 3,8,4,1.0,0,32,5,0,0,0.0019374195212224158,Dusuk
INC0043,Medium,Bug,Website,Variant 1,6,3,0.0,0,18,6,0,0,0.0,Dusuk
INC0044,Medium,Incident,Website,Variant 3,8,3,1.0,0,24,3,1,0,0.0014653539381854434,Dusuk
INC0045,Medium,Bug,Email,Variant 7,15,7,3.0,0,105,19,0,0,0.8401173682354792,Yuksek
INC0046,Medium,Bug,Email,Variant 7,15,8,3.0,0,120,12,0,0,0.4981387516147076,Orta
INC0047,Low,Performance Issue,Email,Variant 1,6,2,0.0,0,12,19,0,0,0.0,Dusuk
INC0048,Medium,Technical Issue,Website,Variant 3,8,4,1.0,0,32,1,1,0,0.0,Dusuk
INC0049,Medium,Incident,Email,Variant 6,10,7,2.0,0,70,20,0,0,0.013518958132869392,Dusuk
INC0050,Low,Performance Issue,Website,Variant 1,6,3,0.0,0,18,20,1,0,0.0,Dusuk
INC0051,Medium,Service Request,Website,Variant 3,8,4,1.0,0,32,21,1,0,0.0,Dusuk
INC0052,Low,Feature Request,Email,Variant 3,8,5,1.0,0,40,5,1,0,0.0,Dusuk
INC0053,Medium,Incident,Email,Variant 1,6,3,0.0,0,18,19,0,0,0.0,Dusuk
INC0054,Medium,Incident,Website,Variant 1,6,3,0.0,0,18,16,0,0,0.0,Dusuk
INC0055,Low,Performance Issue,Website,Variant 3,8,6,1.0,0,48,7,1,0,0.022876150647503046,Dusuk
INC0056,Medium,Performance Issue,Email,Variant 3,8,4,1.0,0,32,3,0,0,0.0019374195212224158,Dusuk
INC0057,High,Bug,Website,Variant 11,6,3,0.0,0,18,21,1,0,0.0,Dusuk
INC0058,High,Performance Issue,Website,Variant 3,8,4,1.0,0,32,17,0,0,0.5935442707542076,Orta
INC0059,Medium,Bug,Website,Variant 7,15,6,3.0,0,90,12,1,0,0.4408360929486722,Orta
INC0060,High,Feature Request,Email,Variant 3,8,3,1.0,0,24,10,1,0,0.16617341009111986,Dusuk
INC0061,Medium,Performance Issue,Website,Variant 3,8,4,1.0,0,32,4,1,0,0.0,Dusuk
INC0062,Medium,Performance Issue,Email,Variant 3,8,5,1.0,0,40,0,1,0,0.00668980428389552,Dusuk
INC0063,Low,Performance Issue,Website,Variant 8,10,3,0.0,0,30,5,1,0,0.11135799454837893,Dusuk
INC0064,Medium,Technical Issue,Email,Variant 2,4,3,0.0,1,12,9,1,0,0.0,Dusuk
INC0065,Medium,Feature Request,Website,Variant 1,6,2,0.0,0,12,5,1,0,0.0,Dusuk
INC0066,Medium,Feature Request,Email,Variant 4,7,6,1.0,0,42,5,0,0,0.004001497413558399,Dusuk
INC0067,Medium,Performance Issue,Website,Variant 3,8,5,1.0,0,40,14,0,0,0.0019374195212224158,Dusuk
INC0068,High,Incident,Email,Variant 2,4,3,0.0,1,12,14,0,0,0.0,Dusuk
INC0069,Medium,Performance Issue,Website,Variant 5,12,5,1.0,1,60,22,0,0,0.027969765453028463,Dusuk
INC0071,High,Feature Request,Email,Variant 4,7,4,1.0,0,28,0,0,0,0.05825315015302085,Dusuk
INC0072,Medium,Feature Request,Email,Variant 1,6,3,0.0,0,18,20,0,0,0.0,Dusuk
INC0073,Low,Bug,Email,Variant 4,7,4,1.0,0,28,23,0,0,0.008007104021878401,Dusuk
INC0074,Medium,Feature Request,Website,Variant 3,8,5,1.0,0,40,7,0,0,0.0019374195212224158,Dusuk
INC0075,Medium,Incident,Website,Variant 3,8,6,1.0,0,48,3,0,0,0.005122571982785829,Dusuk
INC0076,Low,Technical Issue,Website,Variant 3,8,5,1.0,0,40,0,0,0,0.011872417389249894,Dusuk
INC0077,Low,Performance Issue,Website,Variant 3,8,5,1.0,0,40,16,0,0,0.0,Dusuk
INC0078,Medium,Incident,Email,Variant 1,6,2,0.0,0,12,9,0,0,0.0,Dusuk
INC0079,Low,Incident,Website,Variant 3,8,5,1.0,0,40,16,0,0,0.0,Dusuk
INC0081,Medium,Performance Issue,Email,Variant 1,6,3,0.0,0,18,3,0,0,0.0,Dusuk
INC0082,Medium,Feature Request,Website,Variant 4,7,5,1.0,0,35,8,0,0,0.0,Dusuk
INC0083,Medium,Bug,Email,Variant 1,6,2,0.0,0,12,18,0,0,0.0,Dusuk
INC0084,Medium,Bug,Website,Variant 1,6,3,0.0,0,18,19,0,0,0.0,Dusuk
INC0085,Medium,Feature Request,Email,Variant 1,6,2,0.0,0,12,18,0,0,0.0,Dusuk
INC0086,Low,Service Request,Website,Variant 3,8,4,1.0,0,32,8,0,0,0.0023100196463654217,Dusuk
INC0087,Low,Bug,Email,Variant 12,6,3,0.0,0,18,17,0,0,0.0,Dusuk
INC0088,Medium,Service Request,Email,Variant 1,6,3,0.0,0,18,11,0,0,0.0,Dusuk
INC0089,Medium,Performance Issue,Website,Variant 3,8,3,1.0,0,24,9,1,0,0.0,Dusuk
INC0090,Low,Feature Request,Email,Variant 1,6,3,0.0,0,18,11,1,0,0.0,Dusuk
INC0091,Medium,Maintenance,Website,Variant 5,12,6,1.0,1,72,10,0,0,0.07245724336381945,Dusuk
INC0092,Low,Feature Request,Email,Variant 3,8,6,1.0,0,48,22,0,0,0.008336782238512887,Dusuk
INC0093,Medium,Performance Issue,Email,Variant 5,12,6,1.0,1,72,18,0,0,0.09131506207484173,Dusuk
INC0094,Medium,Feature Request,Phone,Variant 1,6,2,0.0,0,12,23,0,0,0.0,Dusuk
INC0095,Medium,Service Request,Email,Variant 3,8,5,1.0,0,40,19,0,0,0.0019374195212224158,Dusuk
INC0096,High,Performance Issue,Website,Variant 3,8,5,1.0,0,40,16,0,0,0.6335651224974945,Orta
INC0097,Low,Performance Issue,Email,Variant 3,8,6,1.0,0,48,0,0,0,0.022856350158213537,Dusuk
INC0098,Medium,Maintenance,Website,Variant 2,4,2,0.0,1,8,14,0,0,0.0,Dusuk
INC0099,Medium,Performance Issue,Email,Variant 3,8,5,1.0,0,40,19,0,0,0.003379340447348188,Dusuk
INC0100,Medium,Incident,Website,Variant 3,8,4,1.0,0,32,13,0,0,0.009811520847566533,Dusuk
INC0101,Low,Bug,Email,Variant 1,6,3,0.0,0,18,13,1,0,0.0,Dusuk
INC0102,Low,Service Request,Website,Variant 1,6,2,0.0,0,12,21,0,0,0.0,Dusuk
INC0103,Medium,Technical Issue,Email,Variant 1,6,2,0.0,0,12,16,0,0,0.0,Dusuk
INC0104,Low,Performance Issue,Website,Variant 3,8,4,1.0,0,32,11,0,0,0.0,Dusuk
INC0105,Medium,Bug,Website,Variant 4,7,4,1.0,0,28,9,0,0,0.0009036413101953607,Dusuk
INC0106,Low,Performance Issue,Website,Variant 8,10,3,0.0,0,30,11,0,0,0.05575123376946813,Dusuk
INC0107,Low,Maintenance,Website,Variant 1,6,3,0.0,0,18,4,0,0,0.0,Dusuk
INC0108,Medium,Performance Issue,Email,Variant 1,6,3,0.0,0,18,17,0,0,0.0,Dusuk
INC0109,Low,Performance Issue,App,Variant 3,8,3,1.0,0,24,13,1,0,0.011269570277713048,Dusuk
INC0110,Medium,Performance Issue,Email,Variant 4,7,4,1.0,0,28,18,0,0,0.004275380160551126,Dusuk
INC0111,Low,Performance Issue,Website,Variant 1,6,3,0.0,0,18,3,1,0,0.0,Dusuk
INC0112,Medium,Performance Issue,Email,Variant 3,8,5,1.0,0,40,22,0,0,0.003379340447348188,Dusuk
INC0113,Medium,Bug,Email,Variant 4,7,4,1.0,0,28,12,0,0,0.0,Dusuk
INC0114,Medium,Feature Request,Website,Variant 3,8,4,1.0,0,32,23,1,0,0.007884895355065423,Dusuk
INC0115,Low,Technical Issue,Website,Variant 3,8,3,1.0,0,24,19,0,0,0.0,Dusuk
INC0116,Medium,Bug,Email,Variant 5,12,5,1.0,1,60,23,0,0,0.05597574966127024,Dusuk
INC0117,Low,Incident,Website,Variant 3,8,5,1.0,0,40,2,0,0,0.004035072667684758,Dusuk
INC0118,Medium,Bug,Email,Variant 1,6,3,0.0,0,18,12,0,0,0.0,Dusuk
INC0119,Medium,Technical Issue,Email,Variant 5,12,5,1.0,1,60,5,0,0,0.06116434821100841,Dusuk
INC0120,Medium,Incident,Website,Variant 3,8,4,1.0,0,32,22,0,0,0.0019374195212224158,Dusuk
INC0121,Medium,Feature Request,Website,Variant 1,6,2,0.0,0,12,21,0,0,0.0,Dusuk
INC0122,High,Incident,Email,Variant 4,7,3,1.0,0,21,15,0,0,0.047827517958384,Dusuk
INC0123,High,Bug,Email,Variant 1,6,3,0.0,0,18,6,0,0,0.0,Dusuk
INC0124,High,Performance Issue,Website,Variant 3,8,5,1.0,0,40,20,0,0,0.048287740118824724,Dusuk
INC0125,Low,Performance Issue,Website,Variant 3,8,4,1.0,0,32,6,0,0,0.0,Dusuk
INC0126,Medium,Performance Issue,Email,Variant 1,6,3,0.0,0,18,7,0,0,0.0,Dusuk
INC0127,Medium,Technical Issue,Email,Variant 4,7,4,1.0,0,28,19,0,0,0.0,Dusuk
INC0128,Medium,Maintenance,Website,Variant 1,6,3,0.0,0,18,1,0,0,0.0,Dusuk
INC0129,High,Bug,Email,Variant 5,12,6,1.0,1,72,12,1,1,0.9659552485729833,Yuksek
INC0130,Medium,Incident,Email,Variant 1,6,3,0.0,0,18,1,0,0,0.0,Dusuk
INC0131,Medium,Performance Issue,Email,Variant 3,8,4,1.0,0,32,10,1,0,0.0,Dusuk
INC0132,Low,Performance Issue,Website,Variant 8,10,3,0.0,0,30,23,0,0,0.07311208223549459,Dusuk
INC0133,Low,Feature Request,Website,Variant 12,6,3,0.0,0,18,0,1,0,0.0,Dusuk
INC0134,Medium,Incident,Website,Variant 1,6,2,0.0,0,12,6,0,0,0.0,Dusuk
INC0135,Medium,Performance Issue,App,Variant 3,8,4,1.0,0,32,12,0,0,0.0019374195212224158,Dusuk
INC0136,Medium,Service Request,Website,Variant 6,10,5,2.0,0,50,10,0,0,0.045201596425002516,Dusuk
INC0137,Medium,Performance Issue,Website,Variant 3,8,4,1.0,0,32,10,0,0,0.0019374195212224158,Dusuk
INC0138,High,Service Request,Website,Variant 3,8,5,1.0,0,40,4,0,0,0.026691000589225796,Dusuk
INC0139,Medium,Bug,Email,Variant 1,6,2,0.0,0,12,5,1,0,0.0,Dusuk
INC0140,Medium,Service Request,Email,Variant 3,8,4,1.0,0,32,20,0,0,0.0019374195212224158,Dusuk
INC0141,High,Performance Issue,App,Variant 3,8,5,1.0,0,40,8,0,0,0.1325598610104036,Dusuk
INC0142,Medium,Feature Request,Website,Variant 3,8,6,1.0,0,48,0,0,0,0.01104987037140623,Dusuk
INC0143,Low,Technical Issue,Email,Variant 1,6,3,0.0,0,18,15,1,0,0.0,Dusuk
INC0144,Low,Performance Issue,Website,Variant 3,8,4,1.0,0,32,0,0,0,0.0,Dusuk
INC0145,Medium,Performance Issue,Email,Variant 3,8,5,1.0,0,40,7,0,0,0.0019374195212224158,Dusuk
INC0146,Medium,Service Request,Website,Variant 3,8,4,1.0,0,32,13,0,0,0.0019374195212224158,Dusuk
INC0147,Medium,Bug,Website,Variant 1,6,3,0.0,0,18,4,0,0,0.0,Dusuk
INC0148,Low,Feature Request,Email,Variant 1,6,2,0.0,0,12,1,1,0,0.0,Dusuk
INC0149,Medium,Feature Request,Website,Variant 3,8,5,1.0,0,40,16,0,0,0.0019374195212224158,Dusuk
INC0150,Medium,Performance Issue,Website,Variant 8,10,3,0.0,0,30,0,0,0,0.04852438341772533,Dusuk
INC0151,High,Incident,Email,Variant 1,6,2,0.0,0,12,9,0,0,0.0,Dusuk
INC0152,Medium,Feature Request,Phone,Variant 1,6,3,0.0,0,18,17,0,0,0.0,Dusuk
INC0153,Medium,Feature Request,App,Variant 1,6,2,0.0,0,12,19,1,0,0.0,Dusuk
INC0154,High,Bug,Website,Variant 11,6,4,0.0,0,24,22,1,0,0.0,Dusuk
INC0155,Medium,Performance Issue,Email,Variant 3,8,4,1.0,0,32,21,1,0,0.0,Dusuk
INC0156,Medium,Incident,Website,Variant 5,12,5,1.0,1,60,14,0,0,0.017748459311839045,Dusuk
INC0157,Medium,Maintenance,Website,Variant 1,6,3,0.0,0,18,12,0,0,0.0,Dusuk
INC0158,Medium,Bug,App,Variant 8,10,3,0.0,0,30,21,1,0,0.07172682215587284,Dusuk
INC0159,Medium,Incident,Email,Variant 8,10,3,0.0,0,30,11,1,0,0.0862964677771293,Dusuk
INC0160,Medium,Performance Issue,Website,Variant 12,6,3,0.0,0,18,9,0,0,0.0,Dusuk
INC0161,Medium,Feature Request,Website,Variant 1,6,3,0.0,0,18,8,0,0,0.0,Dusuk
INC0162,Medium,Incident,App,Variant 3,8,4,1.0,0,32,6,1,0,0.02116496958395814,Dusuk
INC0163,Low,Technical Issue,Website,Variant 3,8,3,1.0,0,24,21,0,0,0.0,Dusuk
INC0164,High,Bug,Website,Variant 1,6,3,0.0,0,18,14,0,0,0.0,Dusuk
INC0165,Medium,Service Request,Website,Variant 3,8,5,1.0,0,40,2,0,0,0.0019374195212224158,Dusuk
INC0166,Medium,Performance Issue,Email,Variant 1,6,2,0.0,0,12,14,1,0,0.0,Dusuk
INC0167,Low,Performance Issue,Email,Variant 3,8,4,1.0,0,32,9,0,0,0.0,Dusuk
INC0168,Medium,Performance Issue,Email,Variant 3,8,4,1.0,0,32,19,1,0,0.0,Dusuk
INC0169,High,Performance Issue,Website,Variant 2,4,2,0.0,1,8,2,0,0,0.0,Dusuk
INC0170,Medium,Service Request,Email,Variant 4,7,4,1.0,0,28,20,1,0,0.0,Dusuk
INC0171,Medium,Incident,Email,Variant 1,6,3,0.0,0,18,2,1,0,0.0,Dusuk
INC0172,Medium,Performance Issue,Email,Variant 3,8,6,1.0,0,48,13,0,0,0.004800359271658365,Dusuk
INC0173,Medium,Service Request,Website,Variant 3,8,4,1.0,0,32,12,1,0,0.003430588784501371,Dusuk
INC0174,High,Feature Request,Website,Variant 6,10,8,2.0,0,80,11,1,0,0.3189209007938158,Dusuk
INC0175,Low,Bug,Email,Variant 1,6,3,0.0,0,18,13,0,0,0.0,Dusuk
INC0176,Medium,Performance Issue,Phone,Variant 3,8,3,1.0,0,24,9,0,0,0.0019374195212224158,Dusuk
INC0177,Medium,Feature Request,Email,Variant 1,6,3,0.0,0,18,5,1,0,0.0,Dusuk
INC0179,Medium,Service Request,Website,Variant 5,12,6,1.0,1,72,4,1,0,0.03944716060798953,Dusuk
INC0180,Medium,Bug,Website,Variant 1,6,3,0.0,0,18,12,1,0,0.0,Dusuk
INC0181,High,Incident,Website,Variant 4,7,5,1.0,0,35,22,0,0,0.04559616676278794,Dusuk
INC0182,High,Performance Issue,Website,Variant 3,8,5,1.0,0,40,15,0,0,0.543121974392752,Orta
INC0183,Low,Incident,Email,Variant 1,6,3,0.0,0,18,23,0,0,0.0,Dusuk
INC0184,High,Maintenance,Email,Variant 3,8,4,1.0,0,32,0,0,0,0.6565001118984807,Orta
INC0185,Medium,Performance Issue,App,Variant 3,8,4,1.0,0,32,8,0,0,0.0019374195212224158,Dusuk
INC0186,High,Bug,Email,Variant 1,6,3,0.0,0,18,6,1,0,0.0,Dusuk
INC0187,Low,Bug,Email,Variant 1,6,3,0.0,0,18,1,0,0,0.0,Dusuk
INC0188,Low,Feature Request,Website,Variant 3,8,4,1.0,0,32,7,1,0,0.011703851310702127,Dusuk
INC0189,High,Maintenance,Website,Variant 1,6,2,0.0,0,12,1,1,0,0.0,Dusuk
INC0190,High,Bug,Website,Variant 2,4,3,0.0,1,12,3,0,0,0.0,Dusuk
INC0191,Medium,Performance Issue,Website,Variant 1,6,3,0.0,0,18,17,1,0,0.0,Dusuk
INC0192,High,Bug,Email,Variant 2,4,2,0.0,1,8,21,1,0,0.0,Dusuk
INC0193,Medium,Performance Issue,Website,Variant 3,8,5,1.0,0,40,7,0,0,0.0019374195212224158,Dusuk
INC0194,Medium,Service Request,Website,Variant 1,6,3,0.0,0,18,8,0,0,0.0,Dusuk
INC0195,Medium,Feature Request,Website,Variant 3,8,5,1.0,0,40,10,0,0,0.0019374195212224158,Dusuk
INC0196,Medium,Bug,Email,Variant 1,6,2,0.0,0,12,23,0,0,0.0,Dusuk
INC0197,Medium,Incident,Website,Variant 5,12,4,1.0,1,48,7,1,0,0.05728831210439667,Dusuk
INC0198,Low,Performance Issue,Website,Variant 3,8,5,1.0,0,40,21,0,0,0.002693620026089119,Dusuk
INC0199,Medium,Bug,Website,Variant 4,7,5,1.0,0,35,23,0,0,0.007339019190790149,Dusuk
INC0200,High,Bug,Email,Variant 11,6,3,0.0,0,18,10,0,0,0.0,Dusuk
INC0201,Low,Feature Request,Website,Variant 1,6,3,0.0,0,18,13,0,0,0.0,Dusuk
INC0202,Medium,Service Request,Website,Variant 3,8,4,1.0,0,32,18,1,0,0.0,Dusuk
INC0203,High,Feature Request,Email,Variant 1,6,2,0.0,0,12,1,0,0,0.004800359271658366,Dusuk
INC0204,Medium,Bug,Email,Variant 4,7,3,1.0,0,21,13,0,0,0.003002246961495251,Dusuk
INC0205,Medium,Service Request,Email,Variant 3,8,4,1.0,0,32,15,0,0,0.0019374195212224158,Dusuk
INC0206,High,Performance Issue,Website,Variant 3,8,4,1.0,0,32,3,1,0,0.04680224330462566,Dusuk
INC0207,Medium,Bug,Website,Variant 1,6,3,0.0,0,18,8,1,0,0.0,Dusuk
INC0208,Low,Service Request,Website,Variant 1,6,3,0.0,0,18,15,0,0,0.0,Dusuk
INC0209,Medium,Service Request,Website,Variant 1,6,2,0.0,0,12,22,0,0,0.0,Dusuk
INC0210,Low,Bug,Website,Variant 1,6,3,0.0,0,18,3,1,0,0.0,Dusuk
INC0211,Medium,Bug,Email,Variant 1,6,3,0.0,0,18,8,1,0,0.0,Dusuk
INC0212,High,Feature Request,Email,Variant 11,6,3,0.0,0,18,22,0,0,0.0,Dusuk
INC0213,High,Performance Issue,Email,Variant 4,7,4,1.0,0,28,1,1,1,0.6578418982026776,Orta
INC0214,Low,Maintenance,Email,Variant 1,6,3,0.0,0,18,16,0,0,0.0,Dusuk
INC0215,High,Feature Request,Email,Variant 1,6,2,0.0,0,12,8,0,0,0.0,Dusuk
INC0216,Medium,Incident,Website,Variant 3,8,5,1.0,0,40,6,0,0,0.0019374195212224158,Dusuk
INC0217,Medium,Performance Issue,Email,Variant 3,8,4,1.0,0,32,19,0,0,0.0019374195212224158,Dusuk
INC0218,High,Performance Issue,Website,Variant 3,8,5,1.0,0,40,15,0,0,0.543121974392752,Orta
INC0219,Medium,Performance Issue,Website,Variant 3,8,6,1.0,0,48,0,0,0,0.0,Dusuk
INC0220,Medium,Performance Issue,Website,Variant 3,8,5,1.0,0,40,12,0,0,0.006173925970743205,Dusuk
INC0221,Low,Incident,Website,Variant 3,8,4,1.0,0,32,19,0,0,0.004521359155421938,Dusuk
INC0222,Low,Feature Request,Email,Variant 3,8,5,1.0,0,40,16,1,0,0.004865110890433632,Dusuk
INC0223,High,Technical Issue,Website,Variant 1,6,2,0.0,0,12,19,0,0,0.0,Dusuk
INC0225,Medium,Feature Request,Website,Variant 1,6,3,0.0,0,18,17,0,0,0.0,Dusuk
INC0226,Medium,Bug,Email,Variant 7,15,6,3.0,0,90,15,1,0,0.23973970896316563,Dusuk
INC0227,Medium,Bug,Website,Variant 5,12,5,1.0,1,60,21,0,0,0.024975111869411083,Dusuk
INC0228,Medium,Maintenance,Website,Variant 1,6,3,0.0,0,18,4,1,0,0.0,Dusuk
INC0229,High,Bug,Email,Variant 12,6,4,0.0,0,24,10,0,0,0.02117685322588455,Dusuk
INC0230,Medium,Feature Request,Website,Variant 3,8,4,1.0,0,32,10,1,0,0.0,Dusuk
INC0231,Low,Maintenance,Website,Variant 3,8,4,1.0,0,32,20,1,0,0.0028009421728076083,Dusuk
INC0232,Low,Feature Request,Website,Variant 1,6,3,0.0,0,18,3,1,0,0.0,Dusuk
INC0233,Medium,Performance Issue,Website,Variant 3,8,4,1.0,0,32,21,1,0,0.0,Dusuk
INC0234,Medium,Feature Request,Website,Variant 1,6,3,0.0,0,18,9,0,0,0.0,Dusuk
INC0235,Medium,Performance Issue,Email,Variant 4,7,4,1.0,0,28,9,0,0,0.004275380160551126,Dusuk
INC0236,Medium,Incident,Website,Variant 11,6,3,0.0,0,18,22,0,0,0.0,Dusuk
INC0237,Medium,Service Request,Website,Variant 1,6,2,0.0,0,12,12,1,0,0.0,Dusuk
INC0238,High,Feature Request,Phone,Variant 3,8,4,1.0,0,32,0,0,0,0.15504680195394396,Dusuk
INC0239,Medium,Bug,Email,Variant 1,6,2,0.0,0,12,9,1,0,0.0,Dusuk
INC0240,Low,Performance Issue,Email,Variant 3,8,4,1.0,0,32,13,0,0,0.0,Dusuk
INC0241,Low,Incident,Email,Variant 3,8,5,1.0,0,40,15,1,0,0.03045622147888414,Dusuk
INC0242,Low,Feature Request,Website,Variant 1,6,3,0.0,0,18,9,0,0,0.0,Dusuk
INC0243,Medium,Service Request,Website,Variant 1,6,2,0.0,0,12,20,1,0,0.0,Dusuk
INC0244,Medium,Performance Issue,Email,Variant 3,8,4,1.0,0,32,5,0,0,0.0019374195212224158,Dusuk
INC0245,Medium,Service Request,Website,Variant 3,8,6,1.0,0,48,9,0,0,0.0239500093277874,Dusuk
INC0246,High,Performance Issue,Email,Variant 1,6,3,0.0,0,18,19,0,0,0.0,Dusuk
INC0247,Medium,Performance Issue,Email,Variant 3,8,4,1.0,0,32,18,1,0,0.0,Dusuk
INC0248,Low,Service Request,Website,Variant 3,8,4,1.0,0,32,14,0,0,0.0023100196463654217,Dusuk
INC0249,Low,Performance Issue,Email,Variant 1,6,3,0.0,0,18,16,1,0,0.0,Dusuk
INC0250,Low,Feature Request,Email,Variant 3,8,5,1.0,0,40,20,0,0,0.0,Dusuk
INC0251,Low,Performance Issue,Email,Variant 3,8,4,1.0,0,32,10,1,0,0.0044453686200378074,Dusuk
INC0252,Low,Performance Issue,Website,Variant 8,10,2,0.0,0,20,17,1,0,0.11452907306814339,Dusuk
INC0253,Medium,Feature Request,Website,Variant 1,6,2,0.0,0,12,19,1,0,0.0,Dusuk
INC0254,Low,Performance Issue,Email,Variant 3,8,3,1.0,0,24,22,1,0,0.010071836556456569,Dusuk
INC0255,Medium,Technical Issue,Website,Variant 3,8,6,1.0,0,48,13,1,0,0.007976723737769666,Dusuk
INC0256,Medium,Feature Request,Website,Variant 1,6,3,0.0,0,18,6,0,0,0.0,Dusuk
INC0257,Medium,Feature Request,Email,Variant 3,8,5,1.0,0,40,15,1,0,0.0,Dusuk
INC0258,Medium,Performance Issue,Website,Variant 3,8,4,1.0,0,32,9,0,0,0.0019374195212224158,Dusuk
INC0259,Medium,Service Request,Website,Variant 3,8,5,1.0,0,40,3,1,0,0.005369290678661085,Dusuk
INC0260,Low,Service Request,Website,Variant 3,8,5,1.0,0,40,15,0,0,0.0044453686200378074,Dusuk
INC0261,Medium,Performance Issue,Email,Variant 3,8,6,1.0,0,48,3,0,0,0.0,Dusuk
INC0262,Medium,Incident,Phone,Variant 1,6,3,0.0,0,18,13,0,0,0.0,Dusuk
